epoch;action_Top_3;action_loss;action_sparse_categorical_accuracy;location_Top_3;location_loss;location_sparse_categorical_accuracy;loss;object_Top_3;object_loss;object_sparse_categorical_accuracy;val_action_Top_3;val_action_loss;val_action_sparse_categorical_accuracy;val_location_Top_3;val_location_loss;val_location_sparse_categorical_accuracy;val_loss;val_object_Top_3;val_object_loss;val_object_sparse_categorical_accuracy
0;0.6084212064743042;1.6812224388122559;0.2509942948818207;0.814629077911377;1.143120288848877;0.5003458261489868;5.092155933380127;0.5108940005302429;2.267813205718994;0.29128479957580566;0.9644001722335815;1.0626801252365112;0.7017318606376648;0.9194996356964111;0.6786105036735535;0.7623476386070251;3.0055172443389893;0.7591404318809509;1.2642264366149902;0.7341244220733643
1;0.9819297790527344;0.7099772095680237;0.8532768487930298;0.9775202870368958;0.4942362308502197;0.8349472284317017;2.1040871143341064;0.8810306191444397;0.8998737931251526;0.7816012501716614;0.9999999403953552;0.1505385786294937;0.996151328086853;0.9999999403953552;0.2526223659515381;0.9916612505912781;0.7317013144493103;0.9804361462593079;0.3285403251647949;0.94162917137146
2;1.0;0.14568234980106354;0.9962822198867798;1.0;0.15219351649284363;0.9937748312950134;0.6066970229148865;0.990921676158905;0.30882108211517334;0.9602282643318176;0.9999999403953552;0.033116668462753296;0.9999999403953552;0.9999999403953552;0.02912442572414875;0.9999999403953552;0.1593080759048462;0.9999999403953552;0.09706699848175049;0.9999999403953552
3;1.0;0.05091457441449165;0.9998270869255066;1.0;0.04000314325094223;1.0;0.20568974316120148;1.0;0.1147720217704773;0.9961092472076416;0.9999999403953552;0.015451726503670216;0.9999999403953552;0.9999999403953552;0.013200395740568638;0.9999999403953552;0.055862683802843094;0.9999999403953552;0.02721056528389454;0.9999999403953552
4;1.0;0.02837393991649151;1.0;1.0;0.021457334980368614;1.0;0.09876380860805511;1.0;0.04893253371119499;0.9999135136604309;0.9999999403953552;0.008849713951349258;0.9999999403953552;0.9999999403953552;0.008423826657235622;0.9999999403953552;0.029521649703383446;0.9999999403953552;0.012248107232153416;0.9999999403953552
5;1.0;0.018935473635792732;0.9999135136604309;1.0;0.014595362357795238;1.0;0.0626673549413681;1.0;0.029136523604393005;1.0;0.9999999403953552;0.006395064759999514;0.9999999403953552;0.9999999403953552;0.005979862529784441;0.9999999403953552;0.020380426198244095;0.9999999403953552;0.00800549890846014;0.9999999403953552
0;0.6429188847541809;1.6651806831359863;0.26724883913993835;0.9042884111404419;1.1227059364318848;0.5316444635391235;4.973287582397461;0.5389071106910706;2.18540096282959;0.3370223045349121;0.9320076704025269;1.1266964673995972;0.5654265284538269;0.9644001722335815;0.7113158106803894;0.7767799496650696;3.003157138824463;0.790570855140686;1.1651448011398315;0.7299550771713257
1;0.9738889932632446;0.6863240599632263;0.8459277153015137;0.9853882193565369;0.5051957964897156;0.8464464545249939;2.047858715057373;0.8865640759468079;0.8563388586044312;0.7733010649681091;0.9999999403953552;0.15151183307170868;0.9945477247238159;0.9999999403953552;0.26164939999580383;0.9884541034698486;0.7203565239906311;0.97754967212677;0.3071953356266022;0.94162917137146
2;1.0;0.14159689843654633;0.9919591546058655;0.9999135136604309;0.1566872000694275;0.9925643801689148;0.6164888143539429;0.9813245534896851;0.31820476055145264;0.9489883780479431;0.9999999403953552;0.032553575932979584;0.9999999403953552;0.9999999403953552;0.03258928656578064;0.9999999403953552;0.17704010009765625;0.9999999403953552;0.11189724504947662;0.9871712327003479
3;1.0;0.04876597598195076;1.0;1.0;0.0402396097779274;1.0;0.2264970988035202;0.9991353750228882;0.13749152421951294;0.985820472240448;0.9999999403953552;0.013600833714008331;0.9999999403953552;0.9999999403953552;0.013105504214763641;0.9999999403953552;0.06616251915693283;0.9999999403953552;0.039456188678741455;0.9999999403953552
4;1.0;0.02693966031074524;1.0;1.0;0.021696237847208977;1.0;0.1091662123799324;1.0;0.06053033471107483;1.0;0.9999999403953552;0.008467854000627995;0.9999999403953552;0.9999999403953552;0.008428415283560753;0.9999999403953552;0.030156787484884262;0.9999999403953552;0.01326051726937294;0.9999999403953552
